,,Indeks Pembangunan Manusia,,,,,Rata-Rata Lama Sekolah (Tahun),,,,,PDRB ADHK (Milyar Rupiah),,,,,Persentase Penduduk Miskin (%),,,,,Umur Harapan Hidup (Tahun),,,,,Garis Kemiskinan (Rupiah/Kapita/Bulan),,,,,Kepadatan Penduduk (Jiwa/km2),,,,,Persentase Rumah Tangga yang memiliki Akses Sanitasi Layak (%),,,,,Indeks Pembangunan Gender,,,,,Pengeluaran Per Kapita yang Disesuaikan (Rupiah/Kapita/Tahun),,,,
,Barito Utara,71.44,71.64,72.16,72.71,73.17,"8,71","8,85","8,9","8,91","8,92","45097,4","45703,8","47924,3","49906,8","51790,7","5,17","5,61","5,8","5,35","5,67",71.3,71.3,71.5,71.68,71.8,504430,525236,563393,590832,628429,19,19,16,16,16,75.43,72.23,75.01,69.57,73.32,87.26,87.49,87.91,87.72,87.96,9936,9951,10182,10720,11150
,Sukamara,69.04,69.28,69.86,70.35,70.83,"8,01","8,09","8,1","8,17","8,18","46075,4","47345,4","49104,2","50960,1","52029,1","3,23","3,66","3,72","3,96","4,14",71.53,71.56,71.8,72.03,72.15,522601,568578,619116,648534,676781,17,17,20,20,21,83.55,81.37,79.96,78.95,81.2,91.01,91.49,91.87,91.96,92.01,8674,8773,9225,9494,9809
,Lamandau,72.21,72.28,72.81,73.44,73.95,"8,42","8,43","8,53","8,67","8,82","39434,1","40134,7","41875,9","41877,7","42742,4","3,09","3,56","3,34","3,12","3,25",69.36,69.39,69.62,69.84,69.98,479514,539744,588591,634710,673768,15,16,14,13,14,84.04,81.89,75.2,77.54,79.34,91.94,91.91,92.1,91.68,92,11190,11234,11559,12050,12278
,Seruyan,69.22,69.31,69.81,70.24,70.66,"7,94","7,96","7,99",8,"8,01","36322,5","36520,1","37295,2","38259,8","38743,9","6,85","7,22","7,43","7,12","7,08",69.26,69.26,69.46,69.63,69.72,504264,529892,571049,608186,642281,10,10,11,11,11,82.66,75.65,70.83,75.01,79.33,89.36,89.16,89.18,89.31,89.5,9370,9420,9821,10157,10474
,Katingan,72.45,72.66,73.43,73.9,74.37,"8,67","8,68","8,78","8,85","8,95","30506,6","30993,4","32221,2","33637,1","34694,2","4,79","5,25","5,5","4,99","5,26",65.78,65.87,66.16,66.43,66.52,474056,498487,553082,589596,615575,9,9,8,8,8,72.94,73.65,84.56,72.97,79.43,85.41,85.38,86.17,86.36,86.8,10548,10568,11036,11399,11691
,Pulang Pisau,70.57,70.65,71.05,71.62,72.36,"8,18","8,19","8,26","8,27","8,42","25917,9","26543,3","27505,6","28562,6","29541,1","4,09","4,24","4,7","4,58","4,56",68.04,68.1,68.36,68.6,68.74,395989,411258,454933,507058,542349,15,15,14,14,14,59.81,63.1,60.67,66.1,68.67,92.06,92.04,92.23,92.3,92.25,10047,10082,10273,10752,11207
,Gunung Mas,72,72.22,72.5,73.18,73.88,"9,14","9,18","9,24","9,25","9,37","26908,1","27684,9",28909,"29564,7","30317,4","4,75","5,35","5,64","5,47","5,68",70.4,70.46,70.72,70.96,71.1,438881,456984,479550,526341,562332,13,13,15,15,16,83.72,84.88,92.87,85.74,84.83,92.09,91.99,92.18,92.38,92.4,10793,10809,10990,11462,11902
,Barito Timur,73.09,73.17,73.69,74.21,74.81,"9,21","9,23","9,32","9,45","9,54","45838,1","46658,6","48851,9",49923,51432,"6,09","6,38","6,59","6,63","6,66",68.22,68.31,68.61,68.91,69.02,517183,534896,571786,623053,663119,30,30,36,37,37,74.5,77.92,84.2,89.93,91.74,88.74,88.82,89.04,89.2,89.49,11319,11322,11710,12083,12576
,Murung Raya,69.54,69.67,70.13,70.91,71.58,"7,54","7,61","7,66","7,81","7,94","51387,8","52865,4","55690,9","57827,6",59813,"5,85","6,15","6,4","6,44","6,58",69.51,69.53,69.75,69.94,70.04,492693,510939,550105,607650,646759,5,5,5,5,5,50.25,59.18,64.91,63.18,63.69,83.56,83.55,83.79,84.25,84.7,10419,10449,10697,11053,11503
,Kota Palangka Raya,81.17,81.22,81.47,81.95,82.53,"11,52","11,53","11,55","11,65","11,66","36209,4","37142,7","38884,4","40845,9","42942,1","3,44","3,75","3,61","3,44","3,52",73.21,73.24,73.47,73.7,73.82,435008,456276,485800,530223,555618,122,125,107,107,109,89.29,92.38,90.55,93.51,91.96,95.02,95.01,95.08,95.51,95.69,14055,14070,14345,14727,15188
Kalimantan Selatan,Tanah Laut,71.36,71.86,72.33,72.98,73.42,"7,88","7,89","7,9","7,92","7,94","10164,06","10517,16","11056,02","11584,22","12164,9","4,26","4,57","3,86","3,73","3,74",69.45,69.59,69.86,70.11,70.31,522845,537854,575061,620532,670062,96,98,94,94,95,78.82,66.42,77,74.29,74.12,87.19,86.86,87.28,87.53,87.78,11207,11310,11703,12198,12595
,Kota Baru,70.68,70.94,71.57,72.01,72.42,"7,43","7,46","7,47","7,55","7,56","17304,87","17884,58","18703,45","19504,96","20546,67","4,22","4,86","4,3","4,32","4,45",69.21,69.32,69.56,69.77,69.93,466121,481452,505601,556962,592230,34,35,35,36,36,75.75,70.96,71.57,70.13,73.12,84.15,84.77,84.93,85.05,85.17,11530,11720,12191,12480,12929
,Banjar,71.67,72.4,73.25,74.01,74.41,"7,35","7,52","7,71","7,94","7,95","11732,66","12109,22","12651,49","13201,4","13829,33","2,55","3,04","2,79","2,44","2,36",67.21,67.41,67.73,68.01,68.26,462375,482867,514991,561521,589165,121,123,126,129,131,79.43,77.19,81.37,82.57,83.18,90.5,91,92.12,92.49,92.52,12603,12707,12871,13301,13683
,Barito Kuala,68.65,69.08,69.87,70.67,71.4,"7,34","7,55","7,63","7,74","7,92","5760,37","5942,72","6155,85","6406,42","6728,29","4,51","5,11","4,75","4,6","4,36",66.09,66.27,66.55,66.8,67.07,340526,355160,375707,417110,437579,104,106,132,134,136,46.72,55.29,52.75,56.66,57.71,89.04,89.18,89.93,89.8,90.16,9805,9868,10230,10750,11168
,Tapin,71.71,71.9,72.61,73.52,74.06,"7,76","7,77","7,95","8,05","8,15","6358,49","6576,27","6898,88","7235,23","7589,32","3,06","3,6","3,6","3,19","3,33",70.4,70.57,70.88,71.16,71.35,446577,459160,484113,516532,561101,70,71,90,91,92,79.78,79.28,79.81,80.67,80.86,84.08,84.15,84.37,85.13,85.39,11841,11952,12247,12776,13163
,Hulu Sungai Selatan,71.57,71.93,72.47,73.21,73.95,"7,75","7,76","7,79","7,86","8,09","4650,23","4844,91","5039,77","5305,52","5578,76","5,17","4,84","4,54","4,01","3,38",65.97,66.12,66.51,66.9,67.17,528622,494203,516857,547855,583549,126,127,137,139,141,82.79,83.69,80.92,82.86,84.45,89.23,89.65,90.05,89.62,90.08,12672,12736,13157,13743,14150
,Hulu Sungai Tengah,71.45,71.67,72.32,72.76,73.33,8,"8,01","8,28","8,29","8,35","4832,75","4978,21","5173,58","5386,03","5652,88","5,64","6,18","5,92","5,84","5,81",66.01,66.2,66.54,66.86,67.12,417778,425438,444331,475655,513950,176,177,179,181,183,80.68,87.62,79.85,83.86,86.68,96.5,96.46,96.51,96.07,96.18,12153,12280,12448,12782,13176
,Hulu Sungai Utara,69.09,69.63,70.33,71.12,71.74,"7,53","7,75","7,76","7,77","7,78","3303,34","3409,5","3548,52","3708,42","3872,62","6,14","6,83","6,49","6,25","5,75",63.83,64.1,64.53,64.97,65.26,488237,501994,526919,561429,597894,254,256,246,249,252,88.96,88.09,90.55,92.37,97.7,91.52,91.74,92.01,91.69,91.79,9527,9644,10132,10491,10981
,Tabalong,73.84,74.25,74.82,75.43,75.97,"9,1","9,11","9,12","9,14","9,15","14481,31","14954,31","15745,72","16516,95","17320,79","5,72","6,27","5,87","5,77","5,64",70.44,70.57,70.84,71.28,71.46,531180,542800,573018,615912,637132,67,68,75,76,77,95,96.54,95.11,95.03,93.13,85.34,85.48,86.06,86.47,86.83,11283,11470,11914,12507,13097
,Tanah Bumbu,72.26,72.55,73.34,73.86,74.5,"7,96","7,97","8,25","8,3","8,43","15395,66","16046,92","16920,76","17739,64","18594,28","4,6","4,82","4,26","4,12","3,41",70.34,70.45,70.7,70.94,71.11,513803,530568,557500,619249,643652,64,66,69,69,70,83.89,86.7,90.88,92.81,92.42,84.6,85.09,85.31,85.74,85.83,11718,11844,12217,12516,13026
,Balangan,71.28,71.58,72.2,72.97,73.83,"7,55","7,69","7,85","8,03","8,13","9177,87","9477,83","9974,65","10390,6","10821,6","5,32","6,07","5,83","5,22","4,87",67.72,67.85,68.13,68.4,68.59,441488,453928,476190,508157,528104,69,70,74,74,76,87.62,89.42,91.8,95.66,96.06,92.22,92.33,93.1,93.21,92.95,11452,11500,11659,11888,12325
,Kota Banjarmasin,78.62,79.09,79.46,79.98,80.53,"9,95","10,2","10,21","10,24","10,35","21929,24","22677,46","23966,98","25314,94","26741,33","4,39","4,89","4,74","4,63","4,58",71.13,71.29,71.59,71.89,72.1,543546,606330,651383,708617,743872,9134,9199,6785,6775,6798,88.07,91.48,89.96,88.66,87.56,93.37,93.69,93.76,93.88,94.43,14306,14432,14770,15280,15714
,Kota Banjar Baru,80.26,80.41,80.82,81.25,81.65,"10,95","10,96","10,98","10,99",11,"6118,39","6321,84","6823,28","7288,18","7776,93","4,01","4,4","4,17","3,92","3,79",71.99,72.1,72.36,72.62,72.82,652030,653556,692830,753899,781405,683,697,870,879,896,92.27,89.11,92.39,89.77,89.54,92.55,92.56,92.83,92.99,93.01,13675,13789,14136,14524,14927
Kalimantan Timur,Paser,72.43,73.34,73.85,74.56,75.13,"8,55","8,79","8,8","8,91","8,92","34712,07","36582,32","36985,15","37493,83","38909,1","9,23","9,73","9,43","9,11","8,63",72.62,72.88,72.89,72.99,73.17,515414,527659,556371,600332,634259,25,25,26,27,27,78.08,81.31,82.29,87.44,85.95,71.15,71.19,71.98,72.84,73.73,10344,10673,11181,11651,12181
,Kutai Barat,71.42,72.31,73.16,73.97,74.76,"8,47","8,7","8,78","8,85","8,89","20644,38","21509,05","22536,42","23848,65","25654,27","9,29","10,24","10,2","9,72","9,56",72.86,73.1,73.1,73.19,73.37,583532,598037,635478,679660,716440,13,13,13,13,13,85.95,87.81,88.14,91.93,94.28,83.87,84.28,84.62,85.29,85.88,9712,10062,10740,11291,11903
,Kutai Kartanegara,74.19,74.69,75.31,75.95,76.57,"9,22","9,23","9,24","9,26","9,27","120953,7","124197,1","128798,4","135406,1","143009,8","7,31","7,99","7,96","7,61","7,28",72.34,72.64,72.65,72.75,72.94,548423,569640,605321,644570,682490,28,28,27,28,29,88.91,84.22,88.97,87.8,89.24,78.9,79.12,79.8,80.64,81.2,10720,11048,11677,12323,12957
,Kutai Timur,73.32,74.15,74.69,75.33,75.9,"9,19","9,43","9,44","9,45","9,47","92868,68","92039,29","97173,42","104663,2",114943,"9,55","9,81","9,28","9,06","8,81",73.16,73.46,73.47,73.57,73.75,610858,626492,659136,714241,753332,14,14,15,14,15,84.85,86.52,88.66,86.64,89.51,76.26,76.4,77.11,77.83,78.61,10485,10868,11322,11961,12490
,Berau,75.19,75.69,76.24,76.71,77.17,"9,52","9,53","9,54","9,56","9,57","27337,09","28802,65","29940,84","31570,05","33868,49","5,19","5,88","5,65","5,54","5,08",72.06,72.32,72.32,72.41,72.59,568500,595550,624948,677819,731250,11,12,12,12,12,92.32,88.4,87.44,93.41,90.04,87.61,87.76,87.76,88.2,88.58,12018,12435,13095,13620,14101
,Penajam Paser Utara,72.4,73.01,73.56,74.33,74.94,"8,28","8,36","8,51","8,53","8,57","6604,62","6492,68","7433,57","9619,21","12570,19","7,36","7,61","7,25","6,97","6,69",71.41,71.68,71.71,71.83,72.04,499807,513666,538022,583239,617673,61,62,58,62,84,85.91,84.53,86.77,87.6,88.69,86.39,86.57,86.83,86.93,87.23,11231,11651,11890,12517,13100
,Mahakam Hulu,67.5,68.36,69.17,70.02,70.79,"7,97","8,18","8,36","8,49","8,5","1763,93","1786,29","1802,46","1852,96","1919,65","11,44","11,9","11,55","11,38","10,75",72.1,72.33,72.35,72.46,72.65,631517,644910,684644,740683,792742,2,2,2,2,2,70.05,91.67,90.3,85.45,75.8,80.98,81.65,82.32,83.07,83.61,7524,7802,8215,8696,9126
,Kota Balikpapan,80.35,81.07,81.49,82.03,82.62,"10,68","10,91","10,92","10,93","10,99","83034,71","86831,69","91142,16","97060,15","100191,7","2,57","2,89","2,45","2,31","2,23",74.49,74.76,74.78,74.89,75.1,613622,657521,680499,743084,782248,1344,1357,1380,1393,1407,90.89,93.25,89.86,93.79,96.28,89.65,89.83,89.96,90.13,90.34,14549,14862,15455,16195,16854
,Kota Samarinda,80.39,81.05,81.72,82.61,83.11,"10,48","10,49","10,71","10,93","10,95","45041,33","46294,41","49349,59","53604,33","58247,25","4,76","4,99","4,85","4,81","4,3",74.27,74.54,74.56,74.68,74.9,719710,750055,784198,850842,877945,1156,1160,1165,1187,1197,93.2,97.17,97.51,96.87,94.8,89.27,89.27,89.75,90.07,90.36,14135,14582,15162,15610,16160
,Kota Bontang,80.06,80.65,81,81.63,82.49,"10,79","10,8","10,81","10,92","10,97","39320,23","39949,08","40930,98","42633,63","41563,91","4,38","4,62","4,54","4,11","3,74",74.28,74.55,74.57,74.67,74.88,636491,665572,697326,763661,801945,1097,1109,1139,1156,1171,95.98,93.95,88.29,88.49,94.47,86.87,87.12,87.52,87.89,88.35,16278,16765,17327,17659,18394
Kalimantan Utara,Malinau,72.73,73.12,73.55,74,74.72,"9,39","9,4","9,41","9,43","9,63","7807,64","8159,29","8567,06","8928,41","9244,98","6,63","7,3","6,64","6,54","6,94",71.45,71.49,71.5,71.51,71.53,616161,650444,692605,749933,791037,2,2,2,2,2,86.72,67.88,89.9,89.24,89.29,81.36,81.95,82.61,82.86,83.06,9611,9928,10304,10708,11190
,Bulungan,71.56,72.27,72.56,73.2,73.83,"8,94","9,19","9,2","9,21","9,23","11547,04","11979,8","12590,48","13170,1","13686,86","9,06","10,03","9,32","8,99","8,76",72.66,72.74,72.76,72.78,72.81,472569,486524,514320,551925,572546,11,11,11,11,12,92.21,93.04,92.37,93.54,94.91,85.1,85.12,85.24,85.73,86.03,9121,9423,9641,10205,10581
,Tana Tidung,67.79,68.59,69.45,70.06,70.95,"8,54","8,8","8,97","9,04","9,24","3659,9","3813,9","4016,24","4196,9","4346,6","4,81","5,15","4,45","4,62","4,47",71.42,71.49,71.51,71.53,71.57,425348,440599,462898,490400,518696,5,6,6,6,6,89.56,83.29,70.89,90.67,96.03,77.57,78.2,78.78,78.99,79.56,7381,7676,8012,8386,8707
,Nunukan,66.5,67.18,67.88,68.43,69.27,8,"8,17","8,24","8,26","8,39","15708,37","16342,24","17199,22","17931,79","18654,57","6,36","6,79","6,13","5,53","5,73",71.34,71.4,71.41,71.42,71.44,450718,479712,519231,556342,597431,14,15,15,15,15,78.13,78.49,72.59,74.31,76.42,82.29,83.09,83.78,83.97,84.5,6804,7064,7446,7787,8265
,Kota Tarakan,75.89,76.3,76.75,77.61,78.03,"9,97","9,98","10,08","10,36","10,37","22065,1","22936,54","24218,41","25646,82","27112,12","6,24","6,71","6,3","6,1","5,56",73.97,74.04,74.06,74.08,74.11,696585,711268,773446,819621,854967,968,986,993,1001,1011,77.64,77.58,83.95,84.57,84.64,91.9,92,92.06,92.73,92.79,10894,11261,11596,11992,12451
Sulawesi Utara,Bolaang Mongondow,68.77,69.04,69.82,70.48,71.14,"7,94","8,03","8,17","8,37","8,38","5512,88","5726,21","6032,7","6345,24","6683,66","7,27","7,58","7,04","7,37","7,74",69.36,69.45,69.78,70.07,70.31,325227,343302,355639,394032,415628,87,87,77,78,79,70.25,71.07,62.62,79.77,79.01,88.29,88.41,88.52,88.55,89.12,10128,10220,10614,10915,11507
,Minahasa,76.85,77.29,77.72,78.48,79.26,"9,65","9,72","9,82","10,1","10,24","11685,36","12148,04","12812,87","13523,8","14265,62","7,3","7,67","7,05","6,87","6,53",71.08,71.16,71.49,71.82,72.11,285596,299072,308634,338802,352693,312,313,310,312,313,88.03,81.09,90.18,90.24,89.37,96.53,96.02,96.3,96.47,96.88,12395,12481,12690,13027,13681
,Kepulauan Sangihe,72.45,72.79,73.35,73.94,74.43,"8,17","8,31","8,47","8,62","8,66","3024,28","3204,99","3379,79","3559,03","3748,34","11,14","11,02","10,5","11,01","10,84",70.1,70.18,70.51,70.78,70.99,272971,283852,292549,313945,328431,302,303,231,238,239,78.65,84.22,76.6,79.12,82.68,95.23,95.94,95.94,95.53,95.82,11427,11524,11631,11946,12409
,Kepulauan Talaud,70.51,70.94,71.53,72.22,72.83,"9,53","9,76","9,79","9,96","10,01","1611,74","1665,6","1752,48","1843,8","1932,15","9,49",9,"8,25","8,46","8,17",70.16,70.24,70.57,70.91,71.21,294686,308395,319974,352120,364581,76,77,94,96,97,86.99,86.09,85.99,91.55,93.11,97.9,98.09,98.09,98.05,98.2,8505,8558,8869,9146,9512
,Minahasa Selatan,73.74,73.94,74.5,75.25,75.79,"9,18","9,19","9,28","9,44","9,54","6073,03","6371,37","6716,36","7088,43","7483,66","9,14","9,37",9,"8,89","8,97",69.92,70.01,70.35,70.71,70.94,336715,352603,365119,394739,435428,168,169,166,165,166,82.58,78.43,62.15,86.05,90.25,88.74,88.78,88.8,89.26,89.76,11481,11554,11717,12090,12529
,Minahasa Utara,75.15,75.36,75.92,76.5,77.05,"9,97","9,98","10,18","10,3","10,36","9295,28","9793,83","10332,09","10890,66","11457,69",7,"7,11","6,6","6,65","6,95",71.38,71.4,71.68,71.99,72.27,333535,347938,362428,391699,427412,245,247,230,232,235,86.05,88.49,80.39,83.11,86.72,96.4,96.24,96.24,96.53,96.62,11405,11481,11593,11958,12412
,Bolaang Mongondow Utara,69.31,69.72,70.39,70.97,71.66,"8,31","8,32","8,48","8,49","8,52","1691,1","1749,6","1846,11","1946,27","2045,96","8,41","8,03","7,31","7,9","7,88",67.66,67.73,68.05,68.33,68.56,264227,275369,283627,316327,334448,49,50,51,114,53,69.25,71.39,70.21,71.33,72.1,86.77,87.02,87.35,87.53,87.86,9062,9143,9285,9652,10170
,Kepulauan Sitaro,68.87,69.28,70.18,70.81,71.55,"9,02","9,08","9,26","9,31","9,49","1610,52","1681,88","1769,18","1862,02","1953,79","8,94","8,94","8,2","8,76","8,32",70.73,70.87,71.27,71.59,71.87,312581,327263,339250,370423,388056,260,261,332,45,340,90.09,93.6,86.48,96.92,96.56,88.4,88.87,88.87,89.04,89.44,8080,8145,8401,8742,9062
,Minahasa Tenggara,71.62,72.16,72.56,72.97,73.68,"8,87","9,07","9,08","9,09","9,1","3614,41","3769,49","3969,27","4182,82","4407,39","12,3","12,47","11,78","11,84","11,72",70.15,70.21,70.52,70.86,71.17,332966,346746,356988,385636,402654,164,165,157,549,160,83.64,78.56,73.81,89.35,93.12,91.88,92.08,92.36,92.43,92.84,10408,10479,10753,11034,11511
,Bolaang Mongondow Selatan,67.76,68.2,68.66,69.17,69.92,"7,96","8,2","8,21","8,23","8,29","1336,97","1386,96","1459,09","1536,87","1617,98","12,77","12,85","11,92","12,04","11,33",64.49,64.49,64.74,64.95,65.11,327648,345819,358465,397381,419865,43,44,40,84,41,55.16,67.62,61.92,71.05,73.31,79.7,80.09,80.42,80.97,81.59,8837,8939,9238,9593,10114
,Bolaang Mongondow Timur,68.13,68.7,69.35,70.09,70.68,"7,71","7,88","8,05","8,27","8,34","1881,48","1938,8","2039,19","2148,25","2258,59","5,88","6,1","5,85","5,8","5,87",67.89,67.94,68.24,68.51,68.73,335241,353872,368578,411409,433873,97,99,107,51,107,56.65,56.06,66.06,73.76,74.08,90.84,90.98,91.1,91.37,91.76,8998,9115,9390,9741,10191
,Kota Manado,80.26,80.53,80.96,81.4,81.86,"11,37","11,49","11,5","11,51","11,53","24778,18","26053,89","27523,56","29041,61","30648,17","5,86","6,19","5,85","5,79","5,43",71.87,71.9,72.18,72.5,72.78,424473,449679,475683,521012,540888,2874,2882,2801,2825,2836,86.82,87.31,86.76,90.28,92.74,96.23,96.41,96.42,96.51,96.86,13886,13991,14399,14822,15301
,Kota Bitung,75.37,75.46,75.94,76.33,76.9,"9,83","9,86","9,9","9,95","9,97","11325,1","11846,01","12510,23","13218,72","13893,82","6,41","6,43","6,2","6,56","6,27",71.07,71.1,71.38,71.68,71.95,416993,434642,458983,501139,518405,743,750,697,705,713,89.05,89.33,95.76,92.16,91.73,94.19,94.56,94.57,94.71,94.81,12193,12271,12665,12954,13539
,Kota Tomohon,77.93,78.09,78.65,79.29,80.06,"10,8","10,81","10,82","10,97","11,06","3150,49","3211,88","3378,01","3557,7","3726,48","5,6","5,69","5,26","5,6","5,38",71.93,72.06,72.44,72.84,73.17,422746,440680,461424,508251,530321,881,883,598,610,615,95.19,95.19,92.56,94.09,95.89,98.94,98.95,99,99.32,99.56,11745,11851,12268,12488,13045
,Kota Kotamobagu,74.59,75.09,75.56,76.01,76.86,"10,03","10,27","10,28","10,29","10,33","2396,96","2498,05","2626,2","2768,43","2914,84","5,42","5,74","5,19","5,03","5,12",70.47,70.6,70.98,71.34,71.63,343675,363777,385962,426174,452245,1136,1143,1152,1173,1185,71.37,71.55,69.88,74.47,74.15,95.37,95.38,95.47,95.49,95.64,10744,10848,11151,11452,12074
Sulawesi Tengah,Banggai Kepulauan,65.61,65.82,66.3,67.05,67.65,"8,43","8,44","8,46","8,62","8,7","2603,27","2735,24","2870,36","2984,81","3105,15","14,04","13,72","13,44","12,9","12,32",66.31,66.59,66.73,66.87,67.08,364025,373799,396904,432673,453552,50,48,52,52,52,77.12,75.35,75.05,76.83,79.52,92.36,92.18,92.2,92.32,92.86,7429,7453,7712,8066,8375
,Banggai,71.01,71.09,71.58,72.19,72.86,"8,52","8,53","8,54","8,63","8,81","18518,97","18857,39","20139,75","20627,68","21376,36","7,39","7,83","7,33","6,94","6,56",70.88,70.88,70.88,71.02,71.09,417863,431639,457335,488788,515334,44,37,45,45,46,81.69,82.46,81.07,81.45,83.18,90.83,90.85,90.86,91.44,91.73,9554,9603,9963,10400,10772
,Morowali,73.06,73.12,73.39,73.82,74.36,"9,33","9,34","9,35","9,37","9,38","43824,29","55001,25","70621,47","84989,24","98808,77","13,43","13,75","12,58","12,31","11,55",69.18,69.23,69.23,69.37,69.41,463140,478409,507523,553185,590027,36,53,39,38,39,82.8,78.34,76.58,72.71,75.16,84.89,85.03,85.14,85.17,85.42,10993,11028,11291,11708,12281
,Poso,72.1,72.27,72.75,73.25,73.65,"9,41","9,5","9,52","9,53","9,54","6221,16","6523,79","6761,15","7023,68","7289,29","15,45","15,92","15,18","15,16","14,23",71.18,71.19,71.19,71.33,71.34,515435,530022,561276,599881,620267,32,34,33,33,34,90.31,88.09,91.47,91.34,92.08,96.54,96.71,96.79,97.2,97.23,8808,8850,9218,9622,9948
,Donggala,66.8,66.96,67.49,68.17,68.71,"7,97","7,98","7,98","7,99",8,"8165,36","8544,44","8873,91","9289,25","9639,06","17,39","16,73","16,3","16,25","15,3",67.33,67.5,67.61,67.86,68.01,360483,369784,395028,421493,438396,59,70,60,60,61,63.31,64.9,64.4,64.44,65.14,88.34,88.43,88.91,89.17,89.5,7960,8002,8303,8766,9117
,Tolitoli,67.7,68.31,68.77,69.68,70.38,"8,51","8,76","8,76","8,77","8,91","5534,73","5776,24","5986,58","6197,86","6403,51","12,85","13,51","12,74","12,85","12,45",65.9,66.18,66.41,66.78,67.03,343770,354427,378317,405556,441975,61,55,62,63,63,64.34,68.09,64.45,63.47,67.4,89.73,90.29,90.46,90.53,90.6,7917,7947,8191,8665,8918
,Buol,68.49,68.92,69.37,70.18,70.89,"8,86","9,08","9,08","9,09","9,2","3842,19","4029,74","4177,12","4327,75","4470,82","13,93","14,06","12,85","13,36","13,08",68.76,69.05,69.32,69.73,69.99,375794,387444,410824,438363,477640,39,36,40,40,41,70.89,70.2,73.48,76.01,76.52,89.25,89.1,89.55,89.86,90.22,7942,7974,8176,8678,9051
,Parigi Moutong,67.46,67.84,68.29,69.06,69.48,"7,48","7,74","7,77","8,04","8,05","11098,5","11616,82","12047,38","12479,5","12926,58","15,85","15,28","14,63","14,91","14,2",64.3,64.35,64.35,64.62,64.66,444258,458385,495623,531255,553012,76,86,77,78,79,62.49,63.98,67.54,68.94,69.14,92.29,92.51,92.76,92.58,92.66,9641,9675,10063,10471,10846
,Tojo Una-una,66.67,66.81,67.62,68.47,69.04,"8,39","8,4","8,41","8,51","8,56","3720,6","3878,59","4012,7","4147,74","4300,76","16,39","16,6","16,12","16,74","16,36",65.67,65.9,66.08,66.41,66.6,504889,521534,547910,597788,622000,29,29,30,30,31,56.4,71.1,68.35,70.02,71.02,91.22,91.15,91.17,91.56,92.02,7606,7621,8096,8550,8863
,Sigi,68.48,68.84,69.4,70.28,70.9,"8,6","8,82","8,84","9,03","9,04","6117,9","6464,34","6679,39","6904,56","7146,18","12,45","13,05","12,3","12,83","12,06",69.99,70.09,70.15,70.35,70.48,370788,382579,409679,445106,463011,49,50,51,51,52,66.53,78.31,71.82,70.06,72.2,93.26,93.48,94.1,94.26,94.37,8126,8171,8498,8891,9254
,Banggai Laut,67.6,67.82,68.4,69.12,69.65,"8,62","8,63","8,63","8,64","8,65","1607,82","1678,04","1746,71","1813,57","1877,36","14,6","14,17","13,17","14,15","13,78",65.38,65.67,65.81,66.08,66.31,359768,366005,384686,424660,443877,102,97,104,106,108,64.52,61.77,63.18,65.89,68.78,91.31,91.77,92.3,92.4,92.73,7663,7707,8037,8470,8776
,Morowali Utara,69.42,69.52,70.02,70.74,71.64,"8,71","8,72","8,75","8,94","9,13","8071,79","8926,55","12169,35","14972,78","17073,22","14,1","13,9","12,97","12,85","11,95",69.61,69.71,69.77,69.97,70.06,474170,486511,519441,556204,594137,14,12,14,14,15,73.45,79.88,86.69,88.58,89.92,95.98,95.98,96.53,96.61,97.06,8853,8890,9242,9623,10032
,Kota Palu,82.74,82.96,83.26,83.71,84.12,"11,61","11,72","11,73","11,74","11,75","15462,91","16385,58","17092,79","17941,4","18768,74","6,8","7,17","6,63","6,56","5,94",71.04,71.09,71.2,71.45,71.56,559246,571605,604280,632261,658112,1047,945,1071,1087,1101,99.27,91.74,83.72,87.54,89.49,97.96,98.16,98.09,98.37,98.57,14839,14894,15162,15501,15941
Sulawesi Selatan,Kepulauan Selayar,69.29,69.68,70.27,71.13,71.98,"7,88","8,08","8,09","8,35","8,49","3620,2","3765,56","3903,8","4047,38","4182,33","12,48","12,45","12,24","12,27","10,79",68.46,68.52,68.81,69.04,69.26,396822,406732,430976,453432,468755,152,102,118,122,123,71.87,75.57,80.84,85.65,89.39,91.63,91.5,91.73,91.94,92.39,8970,9060,9446,9830,10235
,Bulukumba,71.37,72.02,72.75,73.64,74.43,"7,67","7,82","8,01","8,26","8,52","8604,2","9013,58","9357,11","9741,4","10189,82","7,1","7,43","7,39","7,22","6,71",67.92,68.1,68.51,68.84,69,351180,369022,390040,406882,422111,379,343,379,383,387,87.43,92.08,87.76,86.6,88.66,96.29,95.8,95.95,95.83,96,10513,10632,10941,11392,11807
,Bantaeng,69.45,69.71,70.41,71.28,72.2,"6,72","6,77","6,81","7,09","7,26","5650,54","6151,45","7102,04","7496,65","7823,49","8,95","9,41","9,07","9,18","8,26",70.54,70.6,70.88,71.11,71.3,340890,363342,394116,419677,434664,497,500,504,520,525,68.67,77.8,88.82,78.07,77.94,95.78,95.76,95.35,95.31,95.33,11632,11829,12133,12304,12719
,Jeneponto,67.22,67.54,68.13,68.95,69.45,"6,59","6,6","6,75",7,"7,01","6696,42","7058,35","7327,53","7466,55","7916,7","14,58","14,28","13,73","13,06","11,82",66.39,66.49,66.81,66.99,67.16,366453,374407,384299,405280,416231,445,574,515,521,526,85.46,81.48,83.2,83.19,87.2,91.46,91.6,92,92.28,92.39,9114,9215,9425,9781,10158
